,Label,Sequence_embeddings
0,0,"[ 0.04541058 -0.0263883   0.03489362  0.02190612 -0.08301801 -0.0148967
  0.06865239  0.08741503 -0.03937387 -0.08472562  0.00087342]"
1,0,"[ 0.08560648 -0.0848197  -0.01748555 -0.05763872  0.0609885   0.04569156
  0.09008782 -0.0531055   0.00644739  0.01906772 -0.05395627]"
2,0,"[ 0.00740255 -0.08404165  0.00170647 -0.00351014 -0.05015377  0.02844528
  0.01753262  0.07311171 -0.02250877 -0.09046505 -0.04935216]"
3,0,"[ 0.07623463 -0.02942439 -0.0771614   0.07767084  0.03420046 -0.05959505
 -0.07140083 -0.07382727 -0.08143887  0.01736044  0.02233847]"
4,0,"[ 0.05957599 -0.06976824 -0.08394713 -0.07409112  0.01307871  0.08096378
 -0.02374504  0.07646988  0.06886771  0.061781   -0.05347771]"
5,0,"[ 0.05721835  0.0471648  -0.05685114 -0.00372701 -0.04100956  0.02068179
 -0.03596457 -0.01958966 -0.00243222 -0.02200789 -0.06172533]"
6,0,"[ 0.00452846  0.01428038  0.01251767  0.04102534  0.02105728  0.08267123
 -0.06592646 -0.00590467  0.04548164  0.01348482  0.07538731]"
7,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
8,0,"[-0.08597221  0.05071997  0.04959541 -0.0554505   0.04359522 -0.07599916
  0.03287727  0.01967342  0.05092102 -0.08518691 -0.08712471]"
9,0,"[ 0.03114306 -0.08361464 -0.04249714  0.05662661  0.08578228  0.08691774
  0.04036599 -0.08530411 -0.00331245 -0.04363723 -0.00399397]"
10,0,"[ 0.08249936 -0.01148717  0.08838028  0.07706816 -0.08517278 -0.08038869
  0.0646966  -0.00123201  0.01786881 -0.06188993 -0.04757959]"
11,0,"[-0.0313975   0.01653972  0.01973575  0.0009966  -0.04759343  0.04924081
 -0.04055561 -0.01104449  0.06611852 -0.00268244 -0.00891381]"
12,0,"[ 0.02083989  0.00362007 -0.06404147 -0.05235259 -0.03176894 -0.08839243
 -0.01096599  0.01819744  0.05014032  0.04013323 -0.00842439]"
13,0,"[-0.0572359  -0.04940917  0.04004251 -0.04353153 -0.05072591 -0.06661487
  0.04649891  0.00075825  0.02693697  0.07424866  0.01843111]"
14,0,"[ 0.06470294  0.08092438  0.0594756  -0.05318928 -0.01687945  0.07587086
 -0.07700371  0.03375709 -0.06597476  0.02742423 -0.06250896]"
15,0,"[-0.0862437  -0.04106265 -0.07859635  0.03315179  0.07824588 -0.05346768
 -0.08841567 -0.05428343  0.04705456  0.04635701 -0.0113282 ]"
16,0,"[-0.00497354  0.01776529  0.08036792 -0.03002579 -0.0200345  -0.0013901
 -0.04639381 -0.08848019  0.06974172  0.00566753  0.02108704]"
17,0,"[-0.08806028  0.04268953  0.01342456  0.05217047 -0.07354522  0.05946817
  0.03917133 -0.06361604  0.08226006 -0.02109653 -0.00155261]"
18,0,"[-0.02501417 -0.02105572 -0.07419652 -0.00800769  0.07702524  0.05080509
  0.00556441 -0.02161298  0.06441093 -0.08520155 -0.00625112]"
19,0,"[-0.02968821 -0.05505758  0.08331931 -0.08489031 -0.06723731  0.03536129
 -0.02644694  0.02613643  0.0828137   0.0602018  -0.08179042]"
20,0,"[ 0.04654827  0.00147082 -0.00790411 -0.03763683  0.07909644  0.02190564
 -0.05468477 -0.00929989 -0.03686857  0.02105147 -0.05290063]"
